,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
12391,4.77,5.19,405,1,262,11.1,3.4,82.1,124300365,2041464,4833404,128007315,0,43000000,660,0,53000,113000,tpc
12392,4.77,5.19,405,1,262,10.4,3.3,83.2,124295895,2041376,4837960,128006985,0,46000000,719,0,51000,106000,tpc
12393,4.77,5.19,405,1,262,12.6,3.8,80.1,124295895,2041376,4837960,128006985,0,40000000,300,0,54000,112000,tpc
12394,4.55,5.14,405,2,262,12.2,3.2,81.0,124295395,2042252,4837584,128006675,0,42000000,240,0,56000,118000,tpc
12395,4.55,5.14,405,2,262,12.4,3.7,80.4,124295395,2042252,4837584,128006675,0,42000000,360,0,52000,111000,tpc
12396,4.55,5.14,405,1,262,12.3,3.2,80.9,124295395,2042252,4837584,128006675,0,43000000,600,0,57000,119000,tpc
12397,4.55,5.14,405,2,262,11.8,3.1,81.4,124295665,2041896,4837676,128007085,0,42000000,540,0,59000,123000,tpc
12398,4.55,5.14,405,1,262,10.6,3.1,82.9,124295665,2041896,4837676,128007085,0,46000000,240,0,47000,97000,tpc
12399,4.42,5.1,405,1,262,10.3,3.1,83.2,124295665,2041896,4837676,128007085,0,43000000,600,0,63000,132000,tpc
12400,4.42,5.1,405,1,262,10.9,3.0,82.6,124291845,2041472,4841912,128007535,0,47000000,599,0,51000,106000,tpc
12401,4.42,5.1,405,2,262,11.7,3.5,81.3,124291845,2041472,4841912,128007535,0,42000000,900,0,54000,114000,tpc
12402,4.42,5.1,405,2,262,12.1,3.4,81.1,124291845,2041472,4841912,128007535,0,43000000,600,0,56000,118000,tpc
12403,4.42,5.1,405,2,261,13.6,3.6,79.8,124292275,2040740,4842216,128008085,0,44000000,480,0,57000,120000,tpc
12404,4.71,5.15,405,1,262,12.3,3.6,80.8,124292275,2040740,4842216,128008085,0,47000000,360,0,51000,108000,tpc
12405,4.71,5.15,405,1,262,10.2,2.8,83.3,124292275,2040740,4842216,128008085,0,42000000,360,0,54000,112000,tpc
12406,4.71,5.15,405,2,262,11.5,3.1,81.6,124292205,2040948,4842072,128008085,0,47000000,300,0,65000,134000,tpc
12407,4.71,5.15,405,1,262,9.8,2.6,84.0,124292205,2040948,4842072,128008085,0,43000000,360,0,49000,101000,tpc
12408,4.81,5.16,405,2,262,14.0,4.3,78.5,124292205,2040948,4842072,128008085,0,39000000,579,0,63000,129000,tpc
12409,4.81,5.16,405,1,262,9.2,2.8,84.0,124287925,2040464,4846840,128008055,0,44000000,480,0,59000,123000,tpc
12410,4.81,5.16,405,2,262,14.9,4.2,77.7,124287925,2040464,4846840,128008055,0,46000000,811,155,52000,109000,tpc
12411,4.81,5.16,405,1,262,10.1,2.9,82.8,124287925,2040464,4846840,128008055,0,42000000,622,0,58000,123000,tpc
12412,4.81,5.16,405,1,262,11.4,3.7,81.8,124288865,2039800,4846572,128009085,0,43000000,480,0,56000,119000,tpc
12413,4.83,5.16,405,2,262,11.1,3.0,81.7,124288865,2039800,4846572,128009085,0,44000000,480,0,45000,95000,tpc
12414,4.83,5.16,405,2,262,13.1,3.6,79.7,124288865,2039800,4846572,128009085,0,43000000,480,0,66000,138000,tpc
12415,4.83,5.16,405,2,262,10.1,2.8,83.2,124288805,2039760,4846672,128009215,0,46000000,562,0,47000,100000,tpc
12416,4.83,5.16,405,2,262,12.8,3.4,80.3,124288805,2039760,4846672,128009215,0,39000000,839,0,58000,121000,tpc
12417,4.83,5.16,405,2,262,12.0,3.5,81.0,124288805,2039760,4846672,128009215,0,47000000,360,0,43000,91000,tpc
12418,4.6,5.11,405,1,262,11.7,3.2,81.7,124284485,2039668,4851088,128009155,0,36000000,420,0,63000,135000,tpc
12419,4.6,5.11,405,2,262,9.8,2.8,83.8,124284485,2039668,4851088,128009155,0,44000000,540,0,51000,107000,tpc
12420,4.6,5.11,405,2,262,13.1,3.8,79.6,124284485,2039668,4851088,128009155,0,40000000,660,0,53000,111000,tpc
12421,4.6,5.11,405,1,262,11.9,3.4,80.9,124285775,2038188,4851268,128010565,0,44000000,622,0,59000,124000,tpc
12422,4.6,5.11,405,1,262,12.2,3.4,81.1,124285775,2038188,4851268,128010565,0,45000000,502,0,50000,105000,tpc
12423,4.47,5.07,405,2,262,11.5,3.1,82.1,124285775,2038188,4851268,128010565,0,45000000,600,0,64000,136000,tpc
12424,4.47,5.07,405,1,262,13.4,3.5,79.7,124285285,2038692,4851252,128010175,0,49000000,540,0,50000,104000,tpc
12425,4.47,5.07,405,1,262,11.2,4.0,81.3,124285285,2038692,4851252,128010175,0,42000000,682,0,64000,134000,tpc
12426,4.47,5.07,405,3,261,12.2,3.4,80.9,124285285,2038692,4851252,128010175,0,47000000,926,0,50000,105000,tpc
12427,4.47,5.07,405,1,262,11.0,3.2,82.4,124281305,2038096,4855832,128010485,0,43000000,692,0,56000,117000,tpc
12428,4.28,5.02,405,1,262,9.8,3.0,83.6,124281305,2038096,4855832,128010485,0,45000000,519,0,49000,102000,tpc
12429,4.28,5.02,405,1,262,13.2,3.4,80.1,124281305,2038096,4855832,128010485,0,42000000,600,0,51000,107000,tpc
12430,4.28,5.02,405,1,262,11.1,3.0,82.6,124280215,2039204,4855812,128009505,0,43000000,480,0,52000,109000,tpc
12431,4.28,5.02,405,1,262,12.9,3.3,80.6,124280215,2039204,4855812,128009505,0,47000000,900,0,50000,105000,tpc
12432,4.28,5.02,405,1,262,12.2,3.3,80.7,124280215,2039204,4855812,128009505,0,43000000,420,0,57000,121000,tpc
12433,4.01,4.95,405,1,262,10.3,3.2,82.9,124274895,2039796,4860544,128008445,0,42000000,600,0,54000,113000,tpc
12434,4.01,4.95,405,1,262,12.7,3.6,80.3,124274895,2039796,4860544,128008445,0,44000000,420,0,55000,115000,tpc
12435,4.01,4.95,405,1,262,11.2,3.1,82.4,124274895,2039796,4860544,128008445,0,42000000,540,0,56000,112000,tpc
12436,4.01,4.95,405,1,262,11.5,3.3,81.6,124275265,2039768,4860204,128008945,0,42000000,360,0,55000,114000,tpc
12437,4.01,4.95,405,2,262,13.0,3.6,79.9,124275265,2039768,4860204,128008945,0,43000000,796,0,61000,127000,tpc
12438,3.77,4.89,405,2,262,12.5,3.3,80.7,124275265,2039768,4860204,128008945,0,42000000,540,0,52000,109000,tpc
12439,3.77,4.89,405,2,262,9.6,2.7,83.9,124274305,2040516,4860408,128008105,0,43000000,480,0,61000,129000,tpc
12440,3.77,4.89,405,1,262,12.4,3.3,80.9,124274305,2040516,4860408,128008105,0,45000000,420,0,46000,97000,tpc
12441,3.77,4.89,405,1,262,13.3,3.4,79.9,124274305,2040516,4860408,128008105,4096,43000000,480,0,63000,133000,tpc
12442,3.77,4.89,405,1,262,9.5,3.1,83.8,124269985,2040424,4864820,128008045,0,46000000,420,0,48000,100000,tpc
12443,3.55,4.82,405,2,261,11.7,3.3,81.3,124269985,2040424,4864820,128008045,0,39000000,660,0,64000,137000,tpc
12444,3.55,4.82,405,2,261,12.2,3.4,80.9,124269985,2040424,4864820,128008045,0,45000000,600,0,50000,103000,tpc
12445,3.55,4.82,405,2,262,10.9,3.2,82.3,124270285,2040068,4864872,128008425,0,42000000,540,0,56000,117000,tpc
12446,3.55,4.82,405,1,262,11.8,3.3,81.6,124270285,2040068,4864872,128008425,0,39000000,360,0,61000,128000,tpc
12447,3.55,4.82,405,2,261,12.1,3.1,81.3,124270285,2040068,4864872,128008425,0,44000000,360,0,47000,98000,tpc
12448,3.34,4.76,405,1,262,10.9,2.9,82.8,124270295,2040084,4864852,128008535,0,39000000,639,0,61000,128000,tpc
12449,3.34,4.76,405,2,262,11.5,3.4,81.7,124270295,2040084,4864852,128008535,0,49000000,720,0,44000,92000,tpc
12450,3.34,4.76,405,2,261,13.2,3.6,79.7,124270295,2040084,4864852,128008535,0,39000000,682,0,56000,119000,tpc
12451,3.34,4.76,405,1,262,10.6,2.7,82.9,124264945,2040956,4869328,128007455,0,43000000,420,0,55000,114000,tpc
12452,3.34,4.76,405,2,261,11.5,3.4,81.9,124264945,2040956,4869328,128007455,0,46000000,719,0,56000,117000,tpc
12453,3.16,4.7,405,2,262,11.7,3.2,81.5,124264945,2040956,4869328,128007455,0,44000000,420,0,60000,126000,tpc
12454,3.16,4.7,405,2,262,12.4,3.2,80.9,124265445,2040396,4869396,128008085,0,44000000,502,0,51000,106000,tpc
12455,3.16,4.7,405,1,262,11.4,2.5,82.1,124265445,2040396,4869396,128008085,0,42000000,540,0,56000,116000,tpc
12456,3.16,4.7,405,1,262,12.1,3.4,80.6,124265445,2040396,4869396,128008085,0,43000000,959,0,57000,119000,tpc
12457,2.98,4.64,405,1,262,9.9,2.8,83.8,124264925,2040336,4869968,128007665,0,47000000,600,0,61000,127000,tpc
12458,2.98,4.64,405,1,262,12.3,3.1,81.5,124264925,2040336,4869968,128007665,0,45000000,360,0,51000,106000,tpc
12459,2.98,4.64,405,1,262,10.9,3.2,82.5,124264925,2040336,4869968,128007665,0,43000000,600,0,57000,119000,tpc
12460,2.98,4.64,405,2,262,11.3,2.8,82.4,124260695,2040808,4873728,128007695,0,43000000,382,0,53000,111000,tpc
12461,2.98,4.64,405,1,262,11.7,3.4,81.3,124260695,2040808,4873728,128007695,0,42000000,1200,0,52000,109000,tpc
12462,2.82,4.58,405,2,262,11.4,3.0,82.0,124260695,2040808,4873728,128007695,0,42000000,682,0,51000,107000,tpc
12463,2.82,4.58,405,1,262,11.0,2.8,82.7,124260115,2041312,4873808,128007225,0,40000000,540,0,69000,145000,tpc
12464,2.82,4.58,405,3,261,11.2,3.0,82.0,124260115,2041312,4873808,128007225,0,46000000,1485,0,42000,87000,tpc
12465,2.82,4.58,405,1,262,11.8,3.3,81.7,124260115,2041312,4873808,128007225,0,40000000,420,0,60000,126000,tpc
12466,2.82,4.58,405,1,262,11.9,3.2,81.5,124250815,2042104,4882312,128006295,0,47000000,322,0,54000,112000,tpc
12467,2.68,4.52,405,1,262,11.6,3.1,81.9,124250815,2042104,4882312,128006295,0,44000000,420,0,52000,110000,tpc
12468,2.68,4.52,405,3,261,11.6,3.3,81.5,124250815,2042104,4882312,128006295,0,42000000,399,0,46000,98000,tpc
12469,2.68,4.52,405,2,262,10.7,2.4,83.4,124251425,2041616,4882196,128007005,0,39000000,240,0,63000,133000,tpc
12470,2.68,4.52,405,2,261,11.0,3.5,82.2,124251425,2041616,4882196,128007005,0,47000000,300,0,48000,101000,tpc
12471,2.68,4.52,405,1,262,11.8,3.2,81.8,124251425,2041616,4882196,128007005,0,40000000,180,0,58000,123000,tpc
12472,2.54,4.46,405,1,262,13.3,3.3,79.9,124250485,2042128,4882624,128006175,0,46000000,60,0,51000,108000,tpc
12473,2.54,4.46,405,2,262,10.9,3.3,82.4,124250485,2042128,4882624,128006175,0,45000000,420,0,51000,106000,tpc
12474,2.54,4.46,405,3,261,10.1,3.2,83.1,124250485,2042128,4882624,128006175,0,43000000,600,0,59000,125000,tpc
12475,2.54,4.46,405,1,262,12.7,3.8,80.3,124243685,2044600,4886956,128003725,0,48000000,663,0,58000,122000,tpc
12476,2.54,4.46,406,1,262,11.7,3.5,81.3,124243685,2044600,4886956,128003725,0,47000000,632,0,57000,119000,tpc
12477,2.42,4.4,406,2,262,11.1,3.3,82.3,124243685,2044600,4886956,128003725,0,46000000,1000,0,54000,114000,tpc
12478,2.42,4.4,406,2,262,12.9,3.4,79.9,124237795,2046156,4891284,128002095,0,42000000,1860,0,56000,116000,tpc
12479,2.42,4.4,406,1,262,11.8,3.3,81.6,124237795,2046156,4891284,128002095,0,42000000,1707,194,50000,104000,tpc
12480,2.42,4.4,406,1,262,10.5,3.0,83.1,124237795,2046156,4891284,128002095,0,43000000,1087,0,50000,105000,tpc
12481,2.42,4.4,406,1,262,11.0,3.0,82.5,124237205,2046176,4891848,128001615,0,47000000,1138,0,54000,113000,tpc
12482,2.31,4.34,406,1,262,13.2,2.8,80.4,124237205,2046176,4891848,128001615,0,42000000,824,0,57000,120000,tpc
12483,2.31,4.34,406,1,262,11.6,3.8,81.3,124237205,2046176,4891848,128001615,0,43000000,608,0,59000,125000,tpc
12484,2.31,4.34,406,1,262,12.6,3.7,80.6,124233565,2045848,4895820,128002245,0,44000000,530,0,57000,120000,tpc
12485,2.31,4.34,406,1,262,10.9,2.4,83.4,124233565,2045848,4895820,128002245,0,42000000,788,42,56000,117000,tpc
12486,2.31,4.34,406,2,262,11.4,3.4,81.7,124233285,2046116,4895828,128002035,0,45000000,1096,0,47000,99000,tpc
12487,2.2,4.29,406,2,262,11.6,3.6,81.5,124233285,2046116,4895828,128002035,0,43000000,2768,0,54000,113000,tpc
12488,2.2,4.29,406,3,261,11.6,3.2,81.4,124233285,2046116,4895828,128002035,0,45000000,979,0,47000,99000,tpc
12489,2.2,4.29,406,1,262,12.8,3.2,80.6,124233605,2045536,4896100,128002445,0,41000000,692,0,71000,151000,tpc
12490,2.2,4.29,406,1,262,10.5,3.1,82.7,124233605,2045536,4896100,128002445,0,48000000,1230,0,41000,86000,tpc
12491,2.2,4.29,406,1,262,11.9,3.2,81.3,124233605,2045536,4896100,128002445,0,37000000,1442,0,70000,149000,tpc
12492,2.1,4.23,406,1,262,10.3,2.7,83.3,124228305,2046732,4900196,128001405,0,49000000,1124,0,48000,100000,tpc
12493,2.1,4.23,406,1,262,14.1,3.7,79.1,124228305,2046732,4900196,128001405,0,40000000,572,0,60000,125000,tpc
12494,2.1,4.23,406,1,262,8.8,2.4,85.0,124228305,2046732,4900196,128001405,0,49000000,512,0,47000,101000,tpc
12495,2.1,4.23,406,2,261,13.7,3.9,79.0,124228165,2046252,4900820,128001445,0,40000000,714,0,66000,141000,tpc
12496,2.1,4.23,406,1,262,9.0,2.7,84.2,124228165,2046252,4900820,128001445,0,47000000,484,0,49000,102000,tpc
12497,2.02,4.18,406,1,262,13.7,3.8,79.4,124228165,2046252,4900820,128001445,0,40000000,648,0,63000,133000,tpc
12498,2.02,4.18,406,1,262,10.1,2.5,83.6,124223065,2047336,4904832,128000605,0,49000000,916,0,55000,105000,tpc
12499,2.02,4.18,406,1,262,12.0,3.5,81.2,124223065,2047336,4904832,128000605,0,41000000,872,0,63000,131000,tpc
12500,2.02,4.18,406,1,262,10.0,2.4,84.0,124223065,2047336,4904832,128000605,0,46000000,512,0,46000,94000,tpc
12501,2.02,4.18,406,1,262,13.5,3.4,79.9,124222675,2047720,4904844,128000325,0,42000000,1796,0,59000,121000,tpc
12502,2.17,4.18,406,2,262,10.7,3.2,82.0,124222675,2047720,4904844,128000325,0,46000000,1192,0,56000,116000,tpc
12503,2.17,4.18,406,2,262,13.2,3.6,79.4,124222675,2047720,4904844,128000325,0,44000000,1010,0,58000,122000,tpc
12504,2.17,4.18,406,2,262,11.4,3.2,81.5,124222605,2047860,4904772,128000295,0,46000000,720,0,53000,112000,tpc
12505,2.17,4.18,406,3,261,12.5,3.4,80.6,124222605,2047860,4904772,128000295,0,39000000,660,0,58000,122000,tpc
