Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
13.26,12.59,595,5,352,25.8,3.4,70.7,32330228,97019608,1820460,33073200,0,280000,802,0,5253,2815,linpack
13.26,12.59,595,5,352,16.7,2.1,81.2,32330228,97019608,1820460,33073200,0,24000,959,54,5383,3040,linpack
13.26,12.59,595,5,352,28.2,1.1,70.7,32330228,97019608,1820460,33073200,0,0,1485,0,3942,2204,linpack
13.26,12.59,595,5,352,28.4,0.9,70.7,32330220,97019456,1820620,33073360,0,0,720,0,4862,2649,linpack
13.32,12.62,595,5,352,28.3,0.9,70.7,32330220,97019456,1820620,33073360,0,0,759,0,5263,2854,linpack
13.32,12.62,595,5,352,25.7,3.6,70.7,32330220,97019456,1820620,33073360,0,288000,802,0,5345,2998,linpack
13.32,12.62,595,5,352,28.2,1.1,70.7,32330104,97019424,1820764,33073360,0,28000,660,0,5250,2838,linpack
13.32,12.62,595,5,352,27.9,1.4,70.7,32330104,97019424,1820764,33073360,0,0,720,0,5316,2905,linpack
13.32,12.62,595,5,352,26.6,2.6,70.7,32330104,97019424,1820764,33073360,0,0,904,0,5282,2856,linpack
13.37,12.64,595,5,352,22.4,6.9,70.7,32329984,97019392,1820916,33073408,0,0,1226,0,5374,3031,linpack
13.37,12.64,595,5,352,28.2,1,70.7,32329984,97019392,1820916,33073408,0,240000,904,0,5287,2863,linpack
13.37,12.64,595,5,352,28.1,1.1,70.7,32329984,97019392,1820916,33073408,0,24000,1084,0,5303,2871,linpack
13.37,12.64,595,5,352,26.2,3,70.8,32329736,97019488,1821068,33073328,0,0,1084,0,5260,2840,linpack
13.37,12.64,595,5,352,21,8.3,70.8,32329736,97019488,1821068,33073328,0,0,1260,0,5323,2982,linpack
13.42,12.66,595,5,352,25.5,3.7,70.7,32329736,97019488,1821068,33073328,0,0,1080,0,5247,2790,linpack
13.42,12.66,595,5,352,16.6,3.2,80.2,32330356,97018720,1821216,33074072,0,260000,1264,0,5253,2811,linpack
13.42,12.66,595,5,352,17.3,2.1,80.6,32330356,97018720,1821216,33074072,0,24000,1084,0,5311,2921,linpack
13.42,12.66,595,5,352,28.7,0.9,70.4,32330356,97018720,1821216,33074072,0,0,904,0,3865,2262,linpack
13.42,12.66,595,5,352,28.4,0.9,70.7,32330468,97018400,1821424,33074380,0,0,4388,0,3673,2124,linpack
