,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
7557,10.29,10.26,391,1,249,0.1,0.1,70.6,128796355,1225632,1153252,128904165,8112000,0,660,0,1298,2010,fio
7558,10.27,10.25,391,1,249,0.6,0.1,70.2,128796355,1225632,1153252,128904165,7904000,240000,720,0,1327,2067,fio
7559,10.27,10.25,391,1,249,0.0,0.1,70.5,128796385,1225432,1153412,128904255,7952000,0,660,0,1272,1972,fio
7560,10.27,10.25,391,1,249,0.1,0.0,66.6,128796385,1225432,1153412,128904255,8192000,8192,837,169,1251,1960,fio
7561,10.27,10.25,391,1,249,0.1,0.1,66.5,128796385,1225432,1153412,128904255,7936000,44000,420,0,1302,1995,fio
7562,10.27,10.25,391,1,249,0.1,0.1,67.7,128796405,1225312,1153520,128904385,8304000,0,540,0,1346,2118,fio
7563,10.25,10.25,391,1,249,0.1,0.1,71.0,128796405,1225312,1153520,128904385,8016000,20000,964,0,1260,1938,fio
7564,10.25,10.25,391,1,249,0.1,0.0,63.7,128796405,1225312,1153520,128904385,7984000,4096,883,0,1242,1936,fio
7565,10.25,10.25,391,1,249,0.0,0.1,64.3,128796205,1225432,1153588,128904285,8096000,176000,728,0,1261,1964,fio
7566,10.25,10.25,391,1,249,0.1,0.1,66.6,128796205,1225432,1153588,128904285,8400000,4096,907,0,1329,2100,fio
7567,10.25,10.25,391,1,249,0.0,0.1,66.6,128796205,1225432,1153588,128904285,8192000,0,848,0,1358,2088,fio
7568,10.23,10.24,391,1,249,0.1,0.1,67.5,128796085,1225448,1153696,128904285,8464000,24000,844,0,1476,2203,fio
7569,10.23,10.24,391,1,249,0.1,0.0,70.7,128796085,1225448,1153696,128904285,30000000,216000,4651,0,4794,7535,fio
7570,10.23,10.24,391,1,249,0.1,0.1,70.7,128796085,1225448,1153696,128904285,1200000,0,0,0,168,260,fio
7571,10.23,10.24,391,1,249,0.2,0.1,70.7,128795845,1225584,1153804,128904145,8032000,52000,848,0,1235,1958,fio
7572,10.23,10.24,391,1,249,0.0,0.1,70.7,128795845,1225584,1153804,128904145,7984000,4096,1087,0,1277,2005,fio
7573,10.21,10.24,391,1,249,0.1,0.0,70.7,128795845,1225584,1153804,128904145,7728000,4096,900,0,1198,1875,fio
7574,10.21,10.24,391,1,249,0.0,0.1,70.7,128795695,1225568,1153964,128904095,8096000,204000,780,0,1269,1983,fio
7575,10.21,10.24,391,1,249,0.1,0.1,70.7,128795695,1225568,1153964,128904095,8320000,4096,806,0,1273,1971,fio
7576,10.21,10.24,391,1,249,0.1,0.0,70.7,128795695,1225568,1153964,128904095,7920000,4096,1267,0,1256,1991,fio
7577,10.21,10.24,391,1,249,0.0,0.1,70.7,128795575,1225592,1154064,128904165,8240000,24000,1192,0,1276,1987,fio
7578,10.19,10.23,391,1,249,0.1,0.1,70.7,128795575,1225592,1154064,128904165,8432000,4096,788,0,1254,1970,fio
7579,10.19,10.23,391,1,249,0.1,0.1,69.4,128795575,1225592,1154064,128904165,8224000,4096,870,0,1293,2015,fio
7580,10.19,10.23,391,1,249,0.1,0.0,70.8,128795595,1225464,1154176,128904245,7792000,4096,664,0,1267,1985,fio
7581,10.19,10.23,391,1,249,0.1,0.1,73.3,128795595,1225464,1154176,128904245,8096000,0,1536,0,1279,1952,fio
7582,10.19,10.23,391,1,249,0.1,0.1,74.8,128795595,1225464,1154176,128904245,8192000,24000,1003,0,1273,1988,fio
7583,10.18,10.23,391,1,249,0.1,0.1,74.9,128795645,1225352,1154236,128904385,8160000,4096,964,0,1246,1931,fio
7584,10.18,10.23,391,1,249,0.1,0.1,71.2,128795645,1225352,1154236,128904385,8000000,4096,812,0,1272,2000,fio
7585,10.18,10.23,391,1,249,0.1,0.1,74.9,128795645,1225352,1154236,128904385,8208000,0,632,0,1331,2064,fio
7586,10.18,10.23,391,1,249,0.1,0.0,74.9,128795535,1225352,1154348,128904385,8112000,176000,300,0,1224,1928,fio
7587,10.16,10.23,391,1,249,0.2,0.1,74.8,128795535,1225352,1154348,128904385,8224000,4096,600,0,1266,1957,fio
7588,10.16,10.23,391,1,249,0.0,0.1,74.9,128795535,1225352,1154348,128904385,8432000,200000,900,0,1360,2128,fio
7589,10.16,10.23,391,1,249,0.0,0.1,70.7,128795415,1225324,1154492,128904415,8080000,0,780,0,1219,1918,fio
7590,10.16,10.23,391,1,249,0.1,0.1,70.7,128795415,1225324,1154492,128904415,8352000,4096,540,0,1243,1966,fio
7591,10.16,10.23,391,1,249,0.1,0.1,73.7,128795415,1225324,1154492,128904415,8016000,172000,420,0,1163,1849,fio
7592,10.15,10.22,391,1,249,0.1,0.1,73.5,128795295,1225332,1154600,128904405,8256000,4096,783,0,1276,2021,fio
7593,10.15,10.22,391,1,249,0.1,0.1,70.7,128795295,1225332,1154600,128904405,8112000,0,904,0,1282,1976,fio
7594,10.15,10.22,391,1,249,0.1,0.1,66.5,128795295,1225332,1154600,128904405,8384000,84000,724,0,1279,2002,fio
7595,10.15,10.22,391,1,249,0.1,0.0,67.7,128795125,1225332,1154776,128904375,37000000,244000,4656,0,5989,9224,fio
7596,10.15,10.22,391,1,249,0.1,0.1,70.7,128795125,1225332,1154776,128904375,3808000,0,262,0,556,869,fio
7597,10.14,10.22,391,1,249,0.2,0.0,71.6,128795125,1225332,1154776,128904375,8112000,4096,720,0,1301,2035,fio
7598,10.14,10.22,391,1,249,0.1,0.1,74.9,128794885,1225472,1154880,128904225,8192000,0,600,0,1279,1997,fio
7599,10.14,10.22,391,1,249,0.0,0.1,71.3,128794885,1225472,1154880,128904225,8016000,172000,879,0,1292,1975,fio
7600,10.14,10.22,391,1,249,0.0,0.1,70.7,128794885,1225472,1154880,128904225,7984000,0,720,0,1240,1932,fio
7601,10.14,10.22,391,1,249,0.0,0.0,70.8,128793535,1226716,1154976,128903105,8048000,28000,720,0,1329,2089,fio
7602,10.21,10.23,391,1,249,0.1,0.1,71.4,128793535,1226716,1154976,128903105,8528000,0,540,0,1279,2009,fio
