,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
2778,1.65,1.25,407,2,258,6.8,6.0,87.3,125721715,3733872,1719644,126362515,0,112000,1416,66,2638,2641,mlc
2779,1.65,1.25,407,2,258,6.9,5.9,87.1,125721715,3733872,1719644,126362515,0,0,1260,0,2133,1918,mlc
2780,1.76,1.28,407,1,259,5.5,5.2,89.3,125721715,3733872,1719644,126362515,0,0,1116,0,2262,2213,mlc
2781,1.76,1.28,407,1,259,2.8,23.7,73.5,124198675,5256808,1719756,124839565,0,0,1716,42,3177,3600,mlc
2782,1.76,1.28,407,2,259,84.6,13.3,2.0,124198675,5256808,1719756,124839565,0,236000,1994,0,2681,2478,mlc
2783,1.76,1.28,407,1,259,99.5,0.5,0.0,124198675,5256808,1719756,124839565,0,0,666,132,9078,4954,mlc
2784,1.76,1.28,407,1,259,99.7,0.3,0.0,121764625,7690356,1720256,122405665,0,64000,660,0,8759,5842,mlc
2785,3.54,1.66,407,1,259,99.7,0.3,0.0,121764625,7690356,1720256,122405665,0,0,600,0,8531,5386,mlc
2786,3.54,1.66,407,3,258,53.9,22.6,23.5,121764625,7690356,1720256,122405665,0,0,660,0,8363,5043,mlc
2787,3.54,1.66,407,1,259,53.3,46.6,0.0,115756355,13698424,1720456,116397525,0,0,840,66,7688,4750,mlc
2788,3.54,1.66,407,2,259,95.6,0.0,4.4,115756355,13698424,1720456,116397525,0,260000,852,66,9146,6639,mlc
2789,3.54,1.66,407,2,258,99.8,0.2,0.0,115756355,13698424,1720456,116397525,0,24000,780,0,8959,4887,mlc
2790,5.26,2.04,407,2,258,99.5,0.5,0.0,115749795,13704668,1720768,116391065,0,0,1086,0,8323,4912,mlc
2791,5.26,2.04,407,1,259,99.8,0.2,0.0,115749795,13704668,1720768,116391065,0,0,660,0,8715,5629,mlc
2792,5.26,2.04,407,2,259,33.8,24.1,42.1,115749795,13704668,1720768,116391065,0,0,660,0,8553,5398,mlc
2793,5.26,2.04,407,3,258,53.9,45.9,0.2,115756125,13697788,1721316,116397525,0,0,960,0,6692,3896,mlc
2794,5.26,2.04,407,1,259,90.8,0.2,9.0,115756125,13697788,1721316,116397525,0,220000,660,0,8251,5801,mlc
2795,6.76,2.41,407,2,258,99.8,0.2,0.0,115756125,13697788,1721316,116397525,0,0,1019,0,9073,5946,mlc
2796,6.76,2.41,407,1,259,99.7,0.3,0.0,115748915,13705432,1720888,116390385,0,0,780,0,8289,4938,mlc
2797,6.76,2.41,407,1,259,99.5,0.5,0.0,115748915,13705432,1720888,116390385,0,0,780,0,8275,4731,mlc
2798,6.76,2.41,407,2,258,38.7,19.7,41.6,115748915,13705432,1720888,116390385,0,0,612,132,8675,5527,mlc
2799,6.76,2.41,407,3,258,48.4,51.6,0.0,116331795,13122468,1720972,116972905,0,248000,841,0,8260,5075,mlc
2800,8.14,2.77,407,2,258,96.7,1.8,1.5,116331795,13122468,1720972,116972905,0,0,960,0,6756,4597,mlc
2801,8.14,2.77,407,2,258,99.8,0.2,0.0,116331795,13122468,1720972,116972905,0,0,840,0,9294,5572,mlc
2802,8.14,2.77,407,1,259,99.8,0.2,0.0,115748995,13705000,1721236,116390695,0,0,780,0,8852,6140,mlc
2803,8.14,2.77,407,2,258,99.8,0.2,0.0,115748995,13705000,1721236,116390695,0,0,1124,0,8323,5100,mlc
2804,8.14,2.77,407,1,259,38.9,19.5,41.6,115748995,13705000,1721236,116390695,0,36000,480,0,8273,4883,mlc
2805,9.41,3.12,407,2,259,47.8,52.1,0.1,116462275,12991580,1721384,117104115,0,192000,840,0,9258,5676,mlc
2806,9.41,3.12,407,1,259,95.9,2.6,1.5,116462275,12991580,1721384,117104115,0,0,720,0,6294,5080,mlc
2807,9.41,3.12,407,1,259,99.6,0.4,0.0,116462275,12991580,1721384,117104115,0,0,562,0,8489,5338,mlc
2808,9.41,3.12,406,1,259,99.8,0.2,0.0,115745075,13708604,1721560,116386995,0,0,535,427,9162,5284,mlc
2809,9.41,3.12,406,1,259,99.7,0.3,0.0,115745075,13708604,1721560,116386995,0,28000,2272,0,8831,6025,mlc
2810,10.74,3.5,406,1,259,37.4,2.1,60.4,115745075,13708604,1721560,116386995,0,220000,838,0,8399,5051,mlc
2811,10.74,3.5,406,1,259,0.9,0.9,98.2,127768035,1685632,1721572,128410095,0,0,1677,152,8364,5314,mlc
2812,10.74,3.5,406,1,259,1.7,3.0,95.3,127768035,1685632,1721572,128410095,0,0,1080,0,3575,3324,mlc
2813,10.74,3.5,406,1,259,6.9,10.5,82.6,127768035,1685632,1721572,128410095,0,0,840,42,1311,1872,mlc
2814,10.92,3.66,406,1,259,52.7,3.2,44.1,124755235,4698408,1721588,125397425,0,32000,556,0,1213,1575,mlc
2815,10.92,3.66,406,1,259,51.2,3.3,45.5,124755235,4698408,1721588,125397425,0,0,720,0,5068,5867,mlc
2816,10.92,3.66,406,1,259,51.7,3.0,45.3,124755235,4698408,1721588,125397425,0,220000,922,0,6791,5592,mlc
2817,10.92,3.66,406,1,259,51.8,3.1,45.2,124757265,4695912,1722056,125399515,0,0,1423,101,5315,3553,mlc
2818,10.92,3.66,406,1,259,14.9,2.0,83.1,124757265,4695912,1722056,125399515,0,0,600,0,5551,3920,mlc
2819,10.12,3.61,406,1,259,0.9,1.9,97.2,127763295,1690260,1721676,128405635,0,68000,945,66,6004,4604,mlc
2820,10.12,3.61,406,1,259,1.4,3.3,95.3,127763295,1690260,1721676,128405635,0,0,862,0,2713,2617,mlc
2821,10.12,3.61,406,2,258,17.6,20.0,62.4,127763295,1690260,1721676,128405635,0,0,420,0,1050,1316,mlc
2822,10.12,3.61,406,1,259,45.1,3.4,51.5,124759855,4693616,1721764,125402355,0,260000,1200,0,1376,1773,mlc
2823,10.12,3.61,406,1,259,51.9,3.0,45.1,124759855,4693616,1721764,125402355,0,0,1383,0,5017,4737,mlc
2824,10.36,3.77,406,2,258,52.2,3.0,44.8,124759855,4693616,1721764,125402355,0,0,840,0,5144,3546,mlc
2825,10.36,3.77,406,1,259,51.6,3.2,45.2,124755525,4697832,1721880,125398145,0,32000,720,0,5342,3692,mlc
2826,10.36,3.77,406,1,259,28.7,2.5,68.8,124755525,4697832,1721880,125398145,0,0,759,0,7095,5258,mlc
2827,10.36,3.77,406,2,258,0.7,1.1,98.1,124755525,4697832,1721880,125398145,0,0,1928,2385,5889,4444,mlc
2828,10.36,3.77,406,1,259,2.2,3.5,94.3,127760915,1692308,1722016,128403635,0,376000,600,0,4346,3133,mlc
2829,10.57,3.92,406,1,259,3.8,19.6,76.6,127760915,1692308,1722016,128403635,0,0,660,66,964,1435,mlc
2830,10.57,3.92,406,2,259,50.5,3.0,46.5,127760915,1692308,1722016,128403635,0,96000,1205,0,2381,3272,mlc
2831,10.57,3.92,406,1,259,52.0,3.4,44.6,124755275,4697752,1722208,125398115,0,0,900,0,2266,2309,mlc
2832,10.57,3.92,406,1,259,52.5,3.4,44.1,124755275,4697752,1722208,125398115,0,0,840,42,5193,3516,mlc
2833,10.57,3.92,406,1,259,51.5,3.2,45.3,124755275,4697752,1722208,125398115,0,0,720,0,6084,4695,mlc
2834,10.76,4.07,406,1,259,36.0,3.1,60.9,127782275,1670204,1722752,128425265,0,272000,1019,0,9221,5837,mlc
2835,10.76,4.07,406,1,259,1.0,1.0,98.0,127782275,1670204,1722752,128425265,0,68000,840,0,5355,3593,mlc
2836,10.76,4.07,406,1,259,1.6,3.1,95.3,127782275,1670204,1722752,128425265,0,0,540,0,5854,3948,mlc
2837,10.76,4.07,406,1,259,7.1,10.5,82.4,124781395,4671380,1722460,125424485,0,0,985,193,2135,3151,mlc
2838,10.76,4.07,406,1,259,51.9,3.2,44.9,124781395,4671380,1722460,125424485,0,0,660,0,1350,1793,mlc
2839,10.94,4.22,406,1,259,51.4,3.2,45.4,124781395,4671380,1722460,125424485,0,260000,1021,0,1255,1559,mlc
2840,10.94,4.22,406,1,259,51.6,3.0,45.4,124778195,4674364,1722672,125421405,0,28000,666,66,6067,4814,mlc
2841,10.94,4.22,406,1,259,51.8,3.3,45.0,124778195,4674364,1722672,125421405,0,0,1222,0,5875,4201,mlc
2842,10.94,4.22,406,1,259,15.6,1.8,82.5,124778195,4674364,1722672,125421405,0,0,1139,0,5567,4152,mlc
2843,10.94,4.22,406,1,259,0.4,0.2,99.4,127784755,1667744,1722736,128428025,0,0,682,0,5409,3605,mlc
2844,10.06,4.15,406,3,258,26.9,34.6,38.5,127784755,1667744,1722736,128428025,0,0,720,0,5670,4744,mlc
2845,10.06,4.15,406,1,259,81.6,0.6,17.8,127784755,1667744,1722736,128428025,0,212000,802,0,952,1497,mlc
2846,10.06,4.15,406,2,259,98.7,0.1,1.2,121772805,7679680,1722756,122416195,0,0,540,0,2316,2327,mlc
2847,10.06,4.15,406,1,259,99.8,0.2,0.0,121772805,7679680,1722756,122416195,0,0,720,0,8550,5671,mlc
2848,10.06,4.15,406,1,259,99.6,0.4,0.0,121772805,7679680,1722756,122416195,0,0,1432,0,8413,5507,mlc
2849,11.18,4.48,406,3,258,99.8,0.2,0.0,121773165,7679136,1722928,122416665,0,0,600,0,8206,4764,mlc
2850,11.18,4.48,406,1,259,99.9,0.1,0.0,121773165,7679136,1722928,122416665,0,244000,420,66,8286,5030,mlc
2851,11.18,4.48,406,2,258,96.0,0.2,3.8,121773165,7679136,1722928,122416665,0,0,1122,0,8815,6351,mlc
2852,11.18,4.48,406,2,259,99.5,0.5,0.0,121771745,7680452,1723032,122415365,0,0,2232,0,8444,5080,mlc
2853,11.18,4.48,406,1,259,99.8,0.2,0.0,121771745,7680452,1723032,122415365,0,0,1140,0,8971,5083,mlc
2854,12.29,4.82,406,1,259,99.8,0.2,0.0,121771745,7680452,1723032,122415365,0,0,720,0,8596,5618,mlc
2855,12.29,4.82,406,1,259,99.6,0.4,0.0,121770085,7681956,1723196,122413805,0,32000,900,0,8474,5667,mlc
2856,12.29,4.82,406,2,259,98.7,0.1,1.2,121770085,7681956,1723196,122413805,0,188000,2242,0,8360,5011,mlc
2857,12.29,4.82,406,1,259,97.2,0.2,2.6,121770085,7681956,1723196,122413805,0,0,1775,169,8338,5072,mlc
2858,12.29,4.82,406,3,257,99.8,0.2,0.0,121770015,7681524,1723696,122413865,0,0,1439,0,8854,6021,mlc
2859,13.79,5.26,406,1,259,99.6,0.4,0.0,121770015,7681524,1723696,122413865,0,0,999,0,9052,5240,mlc
2860,13.79,5.26,406,2,258,99.8,0.2,0.0,121770015,7681524,1723696,122413865,0,32000,1702,0,8321,5008,mlc
2861,13.79,5.26,406,1,259,99.8,0.2,0.0,121768595,7683248,1723396,122412515,0,224000,1626,66,8456,5357,mlc
2862,13.79,5.26,406,2,259,97.1,0.2,2.7,121768595,7683248,1723396,122412515,0,0,780,0,8534,5578,mlc
2863,14.68,5.58,406,1,259,98.9,0.2,0.8,121768595,7683248,1723396,122412515,0,0,1884,0,8349,4965,mlc
2864,14.68,5.58,406,1,259,99.8,0.2,0.0,121766555,7685056,1723624,122410645,0,0,2320,0,8340,5155,mlc
2865,14.68,5.58,406,2,258,99.7,0.3,0.0,121766555,7685056,1723624,122410645,0,28000,872,0,9426,6475,mlc
2866,14.68,5.58,406,1,259,99.8,0.2,0.0,121766555,7685056,1723624,122410645,0,0,692,0,8205,4885,mlc
2867,14.68,5.58,406,1,259,98.5,0.1,1.4,121764365,7687008,1723864,122408545,0,184000,692,0,8189,4792,mlc
2868,15.43,5.89,406,2,258,97.6,0.1,2.3,121764365,7687008,1723864,122408545,0,0,936,0,8513,5697,mlc
2869,15.43,5.89,406,1,259,99.6,0.4,0.0,121764365,7687008,1723864,122408545,0,0,996,54,8502,5334,mlc
2870,15.43,5.89,406,2,258,99.9,0.1,0.0,121762605,7688704,1723916,122406925,0,0,636,0,8964,5153,mlc
2871,15.43,5.89,406,1,259,99.9,0.1,0.0,121762605,7688704,1723916,122406925,0,28000,1320,66,8306,5264,mlc
2872,15.43,5.89,406,1,259,97.4,0.2,2.4,121762605,7688704,1723916,122406925,0,0,1326,0,8775,6059,mlc
2873,16.12,6.19,406,1,259,98.9,0.1,1.0,121761555,7689568,1724112,122406015,0,220000,600,0,8320,4897,mlc
2874,16.12,6.19,406,1,259,99.8,0.2,0.0,121761555,7689568,1724112,122406015,0,0,676,0,8312,5290,mlc
2875,16.12,6.19,406,1,259,99.7,0.3,0.0,121761555,7689568,1724112,122406015,0,0,960,0,9149,5638,mlc
2876,16.12,6.19,406,2,259,97.0,0.2,2.8,121760355,7690524,1724352,122404925,0,64000,660,42,8445,5366,mlc
2877,16.12,6.19,406,1,259,98.9,0.1,1.0,121760355,7690524,1724352,122404925,0,0,780,0,8216,5114,mlc
2878,16.99,6.54,406,1,259,99.9,0.1,0.0,121760355,7690524,1724352,122404925,0,280000,540,0,8269,4929,mlc
2879,16.99,6.54,406,1,259,99.7,0.3,0.0,121759085,7691252,1724896,122403765,0,0,1003,0,9362,6304,mlc
2880,16.99,6.54,406,1,259,98.0,0.2,1.8,121759085,7691252,1724896,122403765,0,0,948,0,8275,5278,mlc
2881,16.99,6.54,406,2,259,98.6,0.0,1.4,121759085,7691252,1724896,122403765,0,52000,844,0,8150,4707,mlc
2882,16.99,6.54,406,2,258,99.9,0.1,0.0,121754275,7695932,1725024,122399105,0,0,1150,66,8524,5484,mlc
2883,17.55,6.83,406,1,259,99.8,0.2,0.0,121754275,7695932,1725024,122399105,0,0,964,0,9168,5699,mlc
2884,17.55,6.83,406,1,259,99.9,0.1,0.0,121754275,7695932,1725024,122399105,0,256000,704,0,8295,4910,mlc
2885,17.55,6.83,406,1,259,96.8,0.1,3.1,121755105,7695400,1724732,122400035,0,0,840,0,8203,4947,mlc
2886,17.55,6.83,406,2,259,99.3,0.1,0.6,121755105,7695400,1724732,122400035,0,44000,991,155,8943,6285,mlc
2887,17.55,6.83,406,1,259,99.9,0.1,0.0,121755105,7695400,1724732,122400035,0,0,600,42,8159,4758,mlc
2888,18.23,7.15,405,1,259,99.8,0.2,0.0,121753265,7697184,1724788,122398255,0,0,420,0,8896,5058,mlc
2889,18.23,7.15,405,2,259,98.0,0.1,1.8,121753265,7697184,1724788,122398255,0,236000,960,0,8495,5432,mlc
2890,18.23,7.15,405,2,258,98.3,0.1,1.6,121753265,7697184,1724788,122398255,0,0,780,0,8328,5327,mlc
2891,18.23,7.15,405,1,259,99.9,0.1,0.0,121749855,7700392,1724988,122394995,0,28000,660,0,8240,4798,mlc
2892,18.23,7.15,405,2,259,99.9,0.1,0.0,121749855,7700392,1724988,122394995,0,0,900,66,8486,5127,mlc
2893,18.69,7.43,405,1,259,97.9,0.2,1.9,121749855,7700392,1724988,122394995,0,0,852,132,9297,6099,mlc
2894,18.69,7.43,405,1,259,98.0,0.0,2.0,121745375,7704848,1725008,122390625,0,0,1139,0,8323,5007,mlc
2895,18.69,7.43,405,2,259,99.9,0.1,0.0,121745375,7704848,1725008,122390625,0,184000,900,0,8302,4909,mlc
2896,18.69,7.43,405,2,259,99.8,0.2,0.0,121745375,7704848,1725008,122390625,0,28000,900,0,8511,5300,mlc
2897,18.69,7.43,405,1,259,98.4,0.1,1.5,121742725,7707452,1725052,122388085,0,0,742,0,9097,5512,mlc
2898,19.03,7.68,405,1,259,97.6,0.0,2.4,121742725,7707452,1725052,122388085,0,0,959,0,8635,5419,mlc
2899,19.03,7.68,405,2,258,99.9,0.1,0.0,121742725,7707452,1725052,122388085,0,0,1059,0,8220,4918,mlc
2900,19.03,7.68,405,1,259,99.8,0.2,0.0,121740885,7709180,1725168,122386355,0,220000,600,0,8647,5981,mlc
2901,19.03,7.68,405,1,259,98.6,0.2,1.2,121740885,7709180,1725168,122386355,0,28000,1402,0,8930,5055,mlc
2902,19.03,7.68,405,1,259,97.3,0.1,2.7,121740885,7709180,1725168,122386355,0,0,420,0,8197,4819,mlc
2903,19.43,7.96,405,2,259,99.8,0.2,0.0,121738875,7711124,1725236,122384445,0,0,960,0,8437,5358,mlc
2904,19.43,7.96,405,1,259,99.9,0.1,0.0,121738875,7711124,1725236,122384445,0,0,780,0,8398,5348,mlc
2905,19.43,7.96,405,1,259,98.5,0.0,1.5,121738875,7711124,1725236,122384445,0,0,600,0,8855,4937,mlc
2906,19.43,7.96,405,2,259,97.2,0.2,2.6,121738485,7711204,1725540,122384185,0,224000,839,0,8231,4962,mlc
2907,19.8,8.22,405,1,259,99.8,0.2,0.0,121738485,7711204,1725540,122384185,0,0,840,0,8613,6020,mlc
2908,19.8,8.22,405,1,259,99.9,0.1,0.0,121738725,7711284,1725220,122384495,0,0,660,0,8268,4960,mlc
2909,19.8,8.22,405,3,258,98.6,0.1,1.3,121738725,7711284,1725220,122384495,0,0,780,0,8879,4928,mlc
2910,19.8,8.22,405,1,259,97.6,0.1,2.3,121738725,7711284,1725220,122384495,0,0,780,0,8465,5385,mlc
2911,19.8,8.22,405,1,259,99.9,0.1,0.0,121737645,7712276,1725316,122383515,0,220000,720,0,8387,5405,mlc
2912,20.14,8.48,405,1,259,99.9,0.1,0.0,121737645,7712276,1725316,122383515,0,0,420,0,8206,4845,mlc
2913,20.14,8.48,405,1,259,99.9,0.1,0.0,121737645,7712276,1725316,122383515,0,0,960,0,8863,5047,mlc
2914,20.14,8.48,405,1,259,97.9,0.1,2.0,121736275,7713372,1725588,122382255,0,0,600,0,8587,5995,mlc
2915,20.14,8.48,405,1,259,97.5,0.0,2.4,121736275,7713372,1725588,122382255,0,0,780,0,8180,4844,mlc
2916,20.14,8.48,405,1,259,99.9,0.1,0.0,121736275,7713372,1725588,122382255,0,220000,600,0,8196,4814,mlc
2917,20.44,8.74,405,1,259,99.8,0.2,0.0,121735345,7714144,1725744,122381435,0,0,720,0,8368,5176,mlc
2918,20.44,8.74,405,2,259,99.9,0.1,0.0,121735345,7714144,1725744,122381435,0,0,480,0,8979,5486,mlc
2919,20.44,8.74,405,2,258,96.9,0.1,2.9,121735345,7714144,1725744,122381435,0,0,1141,0,8247,4805,mlc
2920,20.44,8.74,404,2,258,98.1,0.1,1.8,121733985,7715132,1726120,122380185,0,0,922,0,8222,4955,mlc
2921,20.44,8.74,404,1,259,99.9,0.1,0.0,121733985,7715132,1726120,122380185,0,0,600,0,8528,5819,mlc
2922,20.73,9.0,404,1,259,96.7,0.2,3.1,121734015,7715420,1725796,122380325,0,0,862,0,8443,5440,mlc
2923,20.73,9.0,404,1,259,98.7,0.1,1.2,121734015,7715420,1725796,122380325,0,0,600,0,8319,5246,mlc
2924,20.99,9.25,404,1,259,99.8,0.2,0.0,121732045,7717280,1725904,122378455,0,28000,540,0,8188,4790,mlc
2925,20.99,9.25,404,1,259,99.9,0.1,0.0,121732045,7717280,1725904,122378455,0,220000,420,0,9376,6238,mlc
2926,20.99,9.25,404,1,259,95.4,0.1,4.5,121731425,7717764,1726048,122377955,0,0,360,0,8210,4795,mlc
